Tam,Domínio,Descrição,A,AAAA,www A,www AAAA,www CNAME,"Senão, tem outro registro DNS?"
3,ftn.br,Faculdades Tancredo Neves,186.202.183.140,,,,@,
3,fua.br,Universidade do Amazonas,,,,,,"NS, SOA"
3,fvc.br,Fundação Visconde de Cairu,200.254.21.180,,200.254.21.137,,,
3,fvj.br,Faculdade do Vale do Jaguaribe,191.252.100.26,,,,@,
3,g12.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,geo.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,ggf.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,gov.br,Governo Federal,161.148.164.31,,161.148.164.31,,,
3,gru.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,iac.br,Instituto Agronômico de Campinas,,,201.55.42.7,,,
3,ial.br,Instituto Americano de Lins,129.159.57.95,,129.159.57.95,,,
3,ibc.br,Instituto Brasileiro de Contabilidade,,,,,,"NS, SOA"
3,iga.br,Instituto de Geociências Aplicadas,,,,,,"SOA, DNSKEY, NSEC, RRSIG, NS"
3,imb.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,ind.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,inf.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,ipa.br,Instituto Agronômico de Pernambuco,,,200.196.164.134,,,
3,ipt.br,Instituto de Pesquisas Tecnológicas,200.18.53.6,,,,darwinnew.ipt.br,
3,it2.br,Centro Universitário Toledo,45.70.87.24,,,,piaget.unitoledo.br,
3,ita.br,Instituto Tecnológico de Aeronáutica,161.24.23.239,,161.24.23.239,,,
3,iti.br,Instituto Nacional de Tecnologia da Informação,,,,,,"SOA, NS, MX, TXT, NSEC, DNSKEY, RRSIG"
3,ivc.br,Instituto Vale do Cricaré,23.236.62.147,,,,www4.wixdns.net,
3,jab.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,jdf.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,jor.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,jts.br,Juvêncio Terra Superior,,,,,ec2-54-94-179-189.sa-east-1.compute.amazonaws.com,
3,jus.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,led.br,Laboratório de Educação Digital (UFSC),150.162.114.51,,,,vm-cachoeira.led.ufsc.br,
3,leg.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,lel.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,lna.br,Laboratório Nacional de Astrofísica,,,,,leila.lna.br,
3,log.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,mar.br,Marinha do Brasil,187.29.162.20,,187.29.162.20,,,
3,mat.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,mba.br,Fundação Getulio Vargas,,,,,,"NS, SOA"
3,med.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,mil.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,mkt.br,UNIALFA,,,,,,"NS, SOA"
3,msb.br,Centro Universitário Moacyr Sreder Bastos,187.45.193.227,,187.45.193.227,,,
3,mus.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,net.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,nic.br,Núcleo de Informação e Coordenação do Ponto BR,200.160.4.6,2001:12ff:0:4::6,,,@,
3,nom.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,not.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,nti.br,Núcleo de Tecnologia da Informação (UnB),,,,,@,
3,ntp.br,NPT.br (Network Time Protocol),200.160.4.155,2001:12ff:0:4144:f816:3eff:fee0:3bd8,,,@,
3,ntr.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,odo.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,oet.br,Colégio Objetivo (Tatuí),201.28.100.148,,,,virtual.oet.br,
3,ong.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,org.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,pia.br,?,187.17.67.37,,187.17.67.37,,,
3,poa.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,ppg.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,pro.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,psc.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,psi.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,ptt.br,Ponto de Troca de Tráfego,200.160.4.153,2001:12ff:0:4144:f816:3eff:feed:8a89,200.160.4.153,2001:12ff:0:4144:f816:3eff:feed:8a89,,
3,puc.br,Pontifícia Universidade Católica de São Paulo,,,,,www3.pucsp.br,
3,pvh.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,qsl.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,rae.br,Revista de Administração de Empresas (FGV),,,189.125.96.76,,,
3,rec.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,rep.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,rgi.br,?,,,,,,"NS, SOA"
3,rio.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,rnp.br,Rede Nacional de Ensino e Pesquisa,"104.22.32.197
104.22.33.197
172.67.23.198","2606:4700:10::6816:20c5
2606:4700:10::6816:21c5
2606:4700:10::ac43:17c6","104.22.32.197
104.22.33.197
172.67.23.198","2606:4700:10::6816:20c5
2606:4700:10::6816:21c5
2606:4700:10::ac43:17c6",,
3,rpp.br,Ponto de Presença da RNP na Paraíba,,,,,,"SOA, NS"
3,seg.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,sjc.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,sle.br,Sociedade Lageana de Educação,200.247.83.30,,,,@,
3,slg.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,slz.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,spn.br,Seminário Presbiteriano do Norte,194.163.141.118,,,,@,
3,sps.br,Seminário Presbiteriano do Sul,191.243.196.239,,,,@,
3,srv.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,tec.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,teo.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,the.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,tmp.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,trd.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,tur.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,ubb.br,?,186.202.95.12,,,,@,
